NMLSID,Name,Street,City,State,Zip,IsCompany,LoanCount,LOs,LoanVolume_display,LoanVolume_raw
119477,"NFM, Inc., Marlton, NJ Branch (NFM Lending)",108 Centre Blvd,Marlton,NJ,08053,False,0,0,$0,0
463153,"NFM, Inc., Turnersville, NJ Branch (NFM Lending)",4551 Route 42,Turnersville,NJ,08012,False,84,5,"$25,552,062",25552062
856600,"NFM, Inc., Bethesda, MD Branch (NFM Lending)",8311 Wisconsin Ave,Bethesda,MD,20814,False,349,14,"$143,588,694",143588694
1133889,"NFM, Inc., Las Vegas, NV Branch (NFM Lending)",3080 S Durango Drive,Las Vegas,NV,89117,False,0,0,$0,0
1165034,"NFM, Inc., Tampa, FL Branch (NFM Lending)",2207 W North A St.,Tampa,FL,33606,False,114,10,"$39,023,474",39023474
1165670,"NFM, Inc., Annapolis, MD Branch (NFM Lending)",2525 Riva Road,Annapolis,MD,21401,False,0,0,$0,0
1167223,"NFM, Inc., Tampa, FL Branch (NFM Lending)",2207 W North St.,Tampa,FL,33606,False,0,1,$0,0
1180517,"NFM, Inc., Elkins, WV Branch (NFM Lending)",1302 N. Randolph Avenue,Elkins,WV,26241,False,1,0,"$332,500",332500
1181409,"NFM, Inc., Vienna, VA Branch (NFM Lending)",1577 Spring Hill Road,Vienna,VA,22182,False,247,13,"$91,631,533",91631533
1182201,"NFM, Inc., Garner, NC Branch (NFM Lending)",883 Highway 70W,Garner,NC,27529,False,119,4,"$36,138,844",36138844
1184292,"NFM, Inc., East Rutherford, NJ Branch (NFM Lending)",1 Meadowlands Plaza,East Rutherford,NJ,07073,False,54,2,"$24,084,705",24084705
1201293,"NFM, Inc., Sarasota, FL Branch (NFM Lending)",3380 Magic Oak Lane,Sarasota,FL,34232,False,0,0,$0,0
1255962,"NFM, Inc., Jacksonville, FL Branch (NFM Lending)",841 Prudential Drive,Jacksonville,FL,32207,False,0,0,$0,0
1274046,"NFM, Inc., Gaithersburg, MD Branch (NFM Lending)","6 Montgomery Village Avenue, Suite 350",Gaithersburg,MD,20879,False,0,0,$0,0
